order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI-0013941,ORD-0007459,PROD-00237,2,661.56,0.1
OI-0001969,ORD-0001070,PROD-00281,2,14.43,0.0
OI-0012361,ORD-0006611,PROD-982995,1,669.16,0.0
OI-0017121,ORD-0009138,PROD-00163,4,252.95,0.0
OI-0010585,ORD-0005644,PROD-00050,1,110.5,0.1
OI-0017424,ORD-0009297,PROD-00221,3abc,470.44,0.1
OI-0011015,ORD-0005866,PROD-00080,5,548.44,0.0
OI-0012418,ORD-0006646,PROD-00214,1,247.82,0.0
OI-0002145,ORD-0001161,PROD-00195,5,365.46,0.0
OI-0013343,ORD-0007134,PROD-00110,4,283.84,0.0
OI-0014068,ORD-0007522,PROD-00035,1,118.35,0.0
OI-0016671,ORD-0008891,PROD-00097,1,590.27,0.2
OI-0006951,ORD-0003711,PROD-00259,2,75.77,0.1
OI-0019650,ORD-0010488,PROD-00039,4,8600.14,0.05
OI-0006561,ORD-0906794,PROD-00053,3,437.12,0.0
OI-0014397,ORD-0007691,PROD-00189,1,678.62,0.0
OI-0015418,ORD-0008220,PROD-00158,1,564.5,0.0
OI-0020375,ORD-0010873,PROD-00272,2,643.53,0.0
OI-0000707,ORD-0000386,PROD-00264,2,246.37,0.0
OI-0002327,ORD-0932036,PROD-00049,2,264.98,0.0
OI-0019088,ORD-0010196,PROD-00047,3,621.07,0.0
OI-0002568,ORD-0001385,PROD-00064,1,330.53,0.15
OI-0007252,ORD-0003871,PROD-00288,3,465.14,0.0
OI-0000861,ORD-0000466,PROD-00027,1,1001.57,0.1
OI-0015505,ORD-0008268,PROD-00117,5,534.75,0.0
OI-0015775,ORD-0008413,PROD-00094,3,465.81,0.0
OI-0019363,ORD-0010338,PROD-00199,5,483.98,0.0
OI-0017697,ORD-0009445,PROD-00004,1,370.52,0.0
OI-0004718,ORD-0002528,PROD-00225,1,17.72,0.15
OI-0020813,ORD-0011120,PROD-00060,2,599.16,0.0
OI-0014753,ORD-0007878,PROD-00045,2,250.4,0.0
OI-0009668,ORD-0005145,PROD-997973,1,404.77,0.0
OI-0016517,ORD-0008817,PROD-00226,4,441.54,0.0
OI-0007796,ORD-0004166,PROD-00148,1,318.07,0.2
OI-0007893,ORD-0004225,PROD-00134,2,41.03,0.05
OI-0000946,ORD-0000510,PROD-00022,4,596.63,0.05
OI-0005559,ORD-0002975,PROD-00046,1,474.65,0.2
OI-0004686,ORD-0002512,PROD-00146,3,532.14,0.0
OI-0013373,ORD-0007148,PROD-00141,3,210.09,0.0
OI-0013792,ORD-0007375,PROD-00156,5,144.49,0.0
OI-0003427,ORD-0001847,PROD-00010,1,16838.79,0.0
OI-0019319,ORD-0010316,PROD-00222,1,690.66,0.0
OI-0021777,ORD-0011626,PROD-00295,1,902.5,0.2
OI-0021256,ORD-0011359,PROD-00185,0.91,534.98,0.0
OI-0017362,ORD-0009267,PROD-00151,4.48,75.44,0.1
OI-0002537,ORD-0001368,PROD-00077,1abc,79.31,0.0
OI-0014509,ORD-0007746,PROD-00073,1,-773.36,0.2
OI-0019450,ORD-0010380,PROD-00275,1,225.47,0.0
OI-0012626,ORD-0006751,PROD-00264,1,242.91,0.0
OI-0021051,ORD-0011251,PROD-00171,1,722.39,0.0
OI-0018635,ORD-0009957,PROD-00199,3,502.51,0.1
OI-0008294,ORD-0004428,PROD-00109,$2,773.26,0.1
OI-0014897,ORD-0007963,PROD-00167,3,642.04,0.0
OI-0013265,ORD-0007091,PROD-00050,2,109.18,0.0
OI-0004008,ORD-0002138,PROD-00184,1,453.05,0.0
OI-0022481,ORD-0011999,PROD-00202,3,607.47,0.0
OI-0015512,ORD-0008271,PROD-00107,5,17.28,0.0
OI-0003734,ORD-0002006,PROD-00173,2,352.06,0.0
OI-0007390,ORD-0003950,PROD-00296,2,384.91,0.0
OI-0002426,ORD-0001308,PROD-00169,3,?,0.0
OI-0020663,ORD-0011037,PROD-00115,2,569.75,0.0
OI-0002040,ORD-0001110,PROD-996392,2,125.35,0.2
OI-0016848,ORD-0008994,PROD-00029,1,716.31,0.05
OI-0017226,ORD-0009192,PROD-00204,2,86.21,0.0
OI-0012927,ORD-0006916,PROD-00136,1,249.56,0.0
OI-0017137,ORD-0009146,PROD-00048,1,569.53,0.1
OI-0011357,ORD-0006057,PROD-00223,2,495.29,0.05
OI-0018181,ORD-0009702,PROD-00289,1,521.21,0.0
OI-0020336,ORD-0010853,PROD-00128,5,537.77,0.2
OI-0021623,ORD-0011548,PROD-00251,1,743.33,0.0
OI-0017887,ORD-0009547,PROD-00177,2,$308.12,0.0
OI-0007003,ORD-0003738,PROD-00164,1,394.27,0.1
OI-0002837,ORD-0001523,PROD-00131,4,256.58,0.0
OI-0014011,ORD-0007497,PROD-00231,3,556.8,0.1
OI-0013328,ORD-0007127,PROD-00050,1,115.37,0.0
OI-0020490,ORD-0010935,PROD-00211,1,821.75,0.0
OI-0005062,ORD-0002706,PROD-00081,1,356.68,0.0
OI-0004027,ORD-0002149,PROD-00015,4abc,508.42,0.0
OI-0008990,ORD-0004796,PROD-00172,5,359.03,0.0
OI-0019218,ORD-0010265,PROD-00128,5,494.31,0.0
OI-0019791,ORD-0010559,PROD-00064,5,344.4,0.0
OI-0014569,ORD-0007775,PROD-00066,1,80.02,0.15
OI-0019347,ORD-0010331,PROD-00026,3,180.74,0.0
OI-0005283,ORD-0002824,PROD-00158,1,572.36,0.15
OI-0001131,ORD-0000615,PROD-00074,2,570.87,0.1
OI-0003226,ORD-0001738,PROD-00280,1,38309.38,0.0
OI-0007835,ORD-0004189,PROD-00243,2,531.67,0.0
OI-0002992,ORD-0001609,PROD-00015,3,508.15,0.0
OI-0007002,ORD-0003738,PROD-990954,4,272.49,0.0
OI-0012362,ORD-0006612,PROD-00104,2,739.96,0.05
OI-0015066,ORD-0008051,PROD-00095,-2.0,569.81,0.0
OI-0014014,ORD-0007498,PROD-00260,1,682.68,0.0
OI-0021453,ORD-0011460,PROD-00189,1,683.24,0.0
OI-0009796,ORD-0005219,PROD-984517,1,754.67,0.1
OI-0006172,ORD-0003299,PROD-00233,4,609.42,0.0
OI-0017942,ORD-0009579,PROD-00010,1,188.88,0.0
OI-0021139,ORD-0011300,PROD-00086,2,855.57,0.15
OI-0000224,ORD-0000123,PROD-00063,$2,337.46,0.0
OI-0012977,ORD-0006941,PROD-00050,2,115.46,0.0
OI-0002072,ORD-0001126,PROD-00048,1,545.98,0.0
OI-0018160,ORD-0009689,PROD-00003,1,729.41,0.05
OI-0006517,ORD-0003485,PROD-00122,1,597.63,0.05
OI-0008255,ORD-0004407,PROD-00061,3,96.49,0.05
OI-0005556,ORD-0002974,PROD-00046,1,482.87,0.0
OI-0018359,ORD-0009806,PROD-00096,1.16,703.6abc,0.2
OI-0017819,ORD-0009509,PROD-00022,1,599.46,0.2
OI-0018997,ORD-0010142,PROD-00155,3abc,532.75,0.0
OI-0012209,ORD-0958929,PROD-00050,5,109.31,0.0
OI-0006073,ORD-0003248,PROD-00230,1,434.45,0.2
OI-0022168,ORD-0011833,PROD-00214,1,229.98,0.1
OI-0013457,ORD-0007195,PROD-00201,3,524.98,0.15
OI-0020933,ORD-0011189,PROD-00241,4,146.97,0.0
