order_id,customer_id,order_date,order_status,channel,shipping_city,shipping_state
ORD-0007697,CUST-001134,2026-07-08,Placed,Web,South Tamara,NY
ORD-0007784,CUST-000461,2024-07-04,Shipped,Mobile App,East Sarah,IL
ORD-0005626,CUST-001336,2026-07-14,Delivered,Web,Murphyburgh,OH
ORD-0009020,CUST-002499,2026-04-17,Delivered,Mobile App,Novakbury,CA
ORD-0011707,CUST-001034,2026-05-18,Cancelled,Web,Guerraton,NC
ORD-0007199,CUST-001362,2026-04-13,Processing,Mobile App,Silvamouth,IL
ORD-0009595,CUST-001546,2026-08-08,Delivered,In-Store,,MI
ORD-0008636,CUST-000487,2024-02-11,Placed,Web,North Daniel,NC
ORD-0005628,CUST-002614,2025-09-09,Delivered,Web,West Roberthaven,MI
ORD-0008119,CUST-002026,2026-05-25,Cancelled,Mobile App,Hunthaven,PA
ORD-0002145,CUST-000854,2025-10-11,Placed,Marketplace,,AZ
ORD-0000300,CUST-002501,2026-08-11,Shipped,In-Store,Port Robert,PA
ORD-0009906,CUST-001868,2026-08-15,Shipped,Mobile App,Port Daniel,IL
ORD-0004487,CUST-002755,2025-11-14,Delivered,Web,Becktown,TX
ORD-0004174,,2026-02-12,Shipped,Marketplace,Kylemouth,FL
ORD-0000276,CUST-002357,2026-08-07,Shipped,Mobile App,East Kimberlybury,IL
ORD-0009112,CUST-000259,2026-02-19,Returned,Web,Bennettshire,MI
ORD-0009492,CUST-000231,2026-01-28,Cancelled,Web,Lake Donna,TX
ORD-0009885,CUST-001481,2024-07-01,Shipped,Web,Skinnerton,NC
ORD-0003962,CUST-000965,2024-09-29,Delivered,Web,Stoneland,NY
ORD-0010310,CUST-002027,2025-10-09,Placed,In-Store,Melissaborough,IL
ORD-0003964,CUST-002589,2026-05-05,Delivered,Mobile App,South Melanieland,IL
ORD-0008900,CUST-000502,2025-04-11,Placed,In-Store,Kristenstad,AZ
ORD-0005542,CUST-000295,07/11/2026,Cancelled,Mobile App,Wandaburgh,CA
ORD-0008078,CUST-002692,2026-05-15,Returned,Web,East Margaret,PA
ORD-0001083,CUST-948192,2026-08-17,Placed,Web,Kaitlynhaven,MI
ORD-0006585,CUST-000332,2026-04-02,Placed,Web,North Kimberlyshire,NC
ORD-0007201,CUST-000158,2025-07-06,Processing,Web,Ponceborough,WA
ORD-0006186,CUST-001163,2026-03-25,Placed,In-Store,Leeside,MI
ORD-0006045,CUST-000186,2026-06-27,Shipped,Marketplace,Danielport,AZ
ORD-0000894,CUST-000839,2025-11-16,Processing,Web,Port Alison,WA
ORD-0000389,CUST-001141,2026-08-08,Returned,Web,South Elijah,PA
ORD-0007185,CUST-000781,2025-04-05,Delivered,Marketplace,Davisshire,WA
ORD-0009483,CUST-000603,2026-06-13,Shipped,In-Store,West Joseph,IL
ORD-0002873,CUST-001329,2026-02-12,Shipped,Web,North Jessicafort,IL
ORD-0009220,CUST-002607,2026-08-01,Shipped,Web,South Hollyside,NY
ORD-0010465,CUST-000758,17-Dec-2025,Cancelled,Mobile App,West Haleyfurt,FL
ORD-0005924,CUST-001648,2026-02-13,Shipped,Web,Ruizstad,FL
ORD-0002294,CUST-001153,2025-09-10,Shipped,Web,Port Rachel,PA
ORD-0009529,CUST-001064,2024-01-16,Cancelled,Mobile App,Port Leahtown,MI
ORD-0004575,CUST-002899,2026-08-31,Shipped,Mobile App,South Elizabethtown,PA
ORD-0005144,CUST-001124,2025-04-24,Delivered,Marketplace,New Troy,NY
ORD-0011127,CUST-000348,2026-07-12,Delivered,Marketplace,,GA
ORD-0004010,CUST-001385,2026-08-18,Delivered,Web,Smithside,WA
ORD-0003358,CUST-000411,2025-12-03,Shipped,Mobile App,Heatherville,IL
ORD-0011865,CUST-002512,2024-12-15,Processing,Mobile App,North Timothyfurt,OH
ORD-0010184,CUST-001789,2025-08-16,Delivered,Mobile App,Port Angelaside,NC
ORD-0004706,CUST-001496,2025-03-31,Shipped,Mobile App,Jessicafurt,GA
ORD-0005039,CUST-000157,2025-05-19,Processing,Marketplace,Robinstad,IL
ORD-0001286,CUST-002754,2026-08-30,Processing,Web,Port Daleberg,GA
ORD-0000297,CUST-001729,2025-08-30,Placed,Web,Chenport,IL
ORD-0004099,CUST-002483,2024-07-04,Shipped,Web,Brendatown,AZ
ORD-0008632,CUST-002980,2025-01-19,Placed,Web,East Mark,MI
ORD-0003800,CUST-000477,2026-04-21,Placed,Web,Stephenfurt,FL
ORD-0004001,CUST-001830,2026-08-21,Delivered,Web,New Jorge,GA
ORD-0002878,CUST-000173,2026-07-08,cANCELLED,Mobile App,Michaelchester,WA
ORD-0000187,CUST-000870,2025-12-17,Delivered,Web,Wardberg,WA
ORD-0004324,CUST-001424,2024-11-14,dELIVERED,In-Store,West Kennethville,WA
ORD-0009742,CUST-001827,2025-12-26,Processing,Web,Nelsonmouth,AZ
ORD-0003595,CUST-002782,2026-07-01,Delivered,Mobile App,East Gregory,AZ
ORD-0001952,CUST-000096,2026-08-30,Processing,Web,South Daniel,WA
ORD-0001113,CUST-000509,2026-04-09,delivered,Mobile App,Edwardtown,GA
ORD-0009993,CUST-001212,2026-01-15,Delivered,Web,East Sabrina,TX
ORD-0009667,CUST-998149,2026-07-27,Delivered,In-Store,,IL
ORD-0006842,CUST-001125,2025-05-01,Delivered,Mobile App,Whitemouth,TX
ORD-0001704,CUST-001905,2025-10-09,Cancelled,Mobile App,Port Jasonport,WA
ORD-0002995,CUST-001440,2026-05-15,Placed,Web,Vanessafurt,IL
ORD-0004917,CUST-000462,2026-04-06,Delivered,Web,South Omar,WA
ORD-0002547,CUST-002988,2024-12-25,Placed,Web,West Glendashire,PA
ORD-0011660,CUST-000455,2026-07-01,Returned,Mobile App,Dunnland,NY
ORD-0001385,CUST-002405,2026-06-26,Placed,Mobile App,Port Amanda,CA
ORD-0003229,CUST-001425,2026-08-03,Processing,Mobile App,Douglasport,PA
ORD-0006230,CUST-000959,2026-07-05,Placed,Marketplace,Samuelburgh,PA
ORD-0001063,CUST-000324,2026-05-16,Delivered,Web,Carrilloberg,OH
ORD-0006165,,2026-07-06,Cancelled,Web,Jameshaven,WA
ORD-0000376,CUST-002271,2025-10-28,Delivered,Mobile App,East Davidchester,NY
ORD-0011511,CUST-001415,2026-02-06,Returned,Mobile App,Peterside,NY
ORD-0008939,CUST-001962,2026-08-31,Processing,In-Store,Janetfurt,FL
