payment_id,order_id,payment_method,amount,payment_date,payment_status
PAY-0001655,ORD-0001655,Gift Card,3343.62,2024-03-11,Completed
PAY-0005603,ORD-0005603,PayPal,2935.86,2025-06-14,Pending
PAY-0007396,ORD-0007396,Debit Card,3362.68,2026-07-16,Completed
PAY-0003131,ORD-0003131,Debit Card,653.23,2026-08-16,Completed
PAY-0005504,ORD-0005504,PayPal,569.66,2026-04-18,Completed
PAY-0010053,ORD-0010053,Credit Card,2454.99,2026-01-24,Completed
PAY-0007397,ORD-0007397,PayPal,1996.52,2026-02-18,Completed
PAY-0000597,ORD-0000597,Credit Card,2071.07,2026-08-03,Completed
PAY-0004896,ORD-0004896,Credit Card,1482.26,2026-08-02,Failed
PAY-0001683,ORD-0001683,Credit Card,2120.04,2026-04-23,Completed
PAY-0010348,ORD-0010348,,$523.47,06-Aug-2026,Completed
PAY-0007500,ORD-0917814,PayPal,$2602.85,2026-08-23,Completed
PAY-0003614,ORD-0003614,Credit Card,1749.28,2025-09-11,Completed
PAY-0008428,ORD-0008428,Bank Transfer,505.28,2026-07-09,Completed
PAY-0010865,ORD-0010865,Debit Card,$1715.07,2026-06-23,Completed
PAY-0010383,ORD-0010383,PayPal,212.74,2026-08-21,Completed
PAY-0002005,ORD-0002005,Debit Card,3442.55,2025-07-17,Completed
PAY-0009879,ORD-0009879,Credit Card,850.74,2025-10-14,Completed
PAY-0002383,ORD-0002383,Gift Card,1444.61,2025-03-07,Failed
PAY-0007521,ORD-0007521,PayPal,1281.4,2025-08-02,Completed
PAY-0007305,ORD-0007305,Credit Card,103.29,2026-07-17,Completed
PAY-0009651,ORD-0009651,Credit Card,480.82,2026-08-29,Completed
PAY-0008516,ORD-0008516,Credit Card,6407.92,2026-07-09,Completed
PAY-0003071,ORD-0003071,PayPal,631.44,2025-01-27,Completed
PAY-0005896,ORD-0005896,Debit Card,1166.54,2024-08-03,Completed
PAY-0002480,ORD-0002480,Credit Card,1244.29,2026-07-01,Completed
PAY-0007413,ORD-0007413,Credit Card,-2951.72,2026-06-18,Pending
PAY-0009668,ORD-0009668,PayPal,3793.58,2024-08-31,Failed
PAY-0003901,ORD-0003901,Gift Card,4505.91,2026-02-07,Refunded
PAY-0003469,ORD-0003469,PayPal,1507.34,2026-08-24,Completed
PAY-0004337,ORD-0004337,Credit Card,3092.01,2025-09-28,Completed
PAY-0007029,ORD-0007029,Credit Card,1759.05,2026-07-28,Completed
PAY-0005760,ORD-0005760,Debit Card,529.68,2026-02-01,Completed
PAY-0010877,ORD-0010877,Debit Card,66.5,2026-02-13,Failed
