inventory_id,product_id,warehouse_location,stock_quantity,reorder_level,supplier_name,last_restock_date
INV-000224,PROD-00293,WH-WEST-02,22,30,Jacobson-Brown,2026-08-24
INV-000084,PROD-00007,WH-CENTRAL-03,83.2,83,,2025-11-16
INV-000108,PROD-00249,WH-EAST-01,$326,11,"Shea, Sullivan and Barajas",2025-10-03
INV-000201,PROD-99881,WH-EAST-01,464,57,,01-Jun-2026
INV-000019,prod-00240,WH-WEST-02,498,85,Mcmillan PLC,2026-02-15
INV-000006,PROD-00298,WH-SOUTH-04,202,42,Bonilla-Gay,2026-08-04
INV-000159,PROD-00257,WH-SOUTH-04,334,10,Braun-Henderson,2025-11-24
INV-000050,PROD-00245,WH-WEST-02,346,73,"Mitchell, Lindsey and Martinez",2026-03-12
INV-000170,PROD-00264,WH-EAST-01,286,53,"Kirby, Griffith and Tran",2025-10-31
INV-000119,PROD-00255,WH-WEST-02,176,11,Miller PLC,2026-01-15
INV-000075,PROD-00058,WH-SOUTH-04,131,97,Hernandez LLC,"February 13, 2026"
INV-000079,PROD-00132,WH-CENTRAL-03,375,60,Curry-West,2026-05-06
INV-000220,PROD-00294,WH-SOUTH-04,41,80,"Evans, Warner and Clark",2025-11-30
INV-000232,PROD-00194,WH-CENTRAL-03,493,63,Horton Inc,"February 09, 2026"
INV-000175,PROD-00282,WH-SOUTH-04,269,46,"Greene, Mueller and Sanders",2026-06-16
INV-000016,PROD-93049,WH-EAST-01,337,74,Harrison Inc,2026-07-17
INV-000181,PROD-00241,WH-WEST-02,182,42,Cruz and Sons,2026-08-04
INV-000211,PROD-00115,WH-SOUTH-04,61,91,Jordan and Sons,2026-07-19
INV-000026,prod-00165,WH-EAST-01,382,33,Chen Ltd,2026-04-27
INV-000001,PROD-00023,WH-CENTRAL-03,463,24,"Murray, Hines and Durham",2026-04-02
INV-000200,PROD-00267,WH-SOUTH-04,238,21,Wallace-Patton,2025-11-06
INV-000236,PROD-00199,WH-SOUTH-04,256,79,"Wall, Schmidt and Horton",2026-05-19
INV-000188,PROD-00098,WH-WEST-02,69,27,Orozco-Green,2026-01-05
INV-000120,PROD-00205,WH-EAST-01,259,87,Baker-Avery,2026-07-23
INV-000252,PROD-00201,WH-WEST-02,129,80,Ali Ltd,11/12/2025
INV-000002,PROD-00071,WH-EAST-01,80,86,"Smith, Bradford and Jackson",2026-01-16
INV-000168,PROD-00051,WH-SOUTH-04,90,98,Hayes LLC,2026-02-07
INV-000258,PROD00174,WH-WEST-02,372,92,"Olson, Downs and Clark",2026-01-03
INV-000164,PROD-00177,WH-CENTRAL-03,398.78,30,"Alexander, Friedman and Allen",2026-08-28
INV-000025,PROD-00289,WH-WEST-02,18,64,"Nelson, Hammond and Olson",2025-11-05
INV-000143,PROD-00046,WH-CENTRAL-03,--,64,"Hill, Duncan and Hays",2025-10-03
INV-000111,PROD-00059,WH-SOUTH-04,11,46,Smith-Williams,2026-03-27
INV-000161,PROD-00160,WH-SOUTH-04,268,38,Weiss-Powell,2026-01-17
INV-000270,PROD-00083,WH-CENTRAL-03,264,50,"Schmidt, Knox and Cardenas",2026-05-21
INV-000078,PROD-00211,WH-EAST-01,88,15,Morrison Inc,2026-08-14
INV-000118,PROD-00231,WH-EAST-01,195,62,Bradley Inc,2026-01-14
INV-000127,PROD-00295,WH-SOUTH-04,46,66,"Johnson, Mitchell and Ryan",2026-05-14
INV-000168,PROD-00051,WH-SOUTH-04,90,98,Hayes LLC,2026-02-07
INV-000246,PROD-00139,WH-WEST-02,201,46,Cooper Group,2026-05-11
INV-000057,PROD-00172,WH-WEST-02,250,63,Leach-Morse,2026-08-02
INV-000264,PROD-00026,WH-EAST-01,387,51,,2025-09-07
INV-000052,PROD-00185,WH-SOUTH-04,342,65,Beck-Cook,2026-08-25
INV-000110,PROD-00251,WH-EAST-01,388,22,"Burke, Lee and Horton",2025-12-05
INV-000184,PROD-00092,WH-CENTRAL-03,232,12,Baldwin and Sons,2026-06-08
INV-000048,PROD-00252,WH-WEST-02,-206.0,97,"Stephens, Gordon and Best",2025-11-21
INV-000089,PROD-00140,WH-EAST-01,490,73,Stevens PLC,2026-07-22
INV-000152,PROD-00091,WH-EAST-01,249,22,Mcbride PLC,2026-04-26
INV-000018,PROD-00276,WH-WEST-02,398,35,Nguyen and Sons,2026-08-30
INV-000255,PROD-00143,WH-CENTRAL-03,323,73,"Parker, White and Day",2026-02-13
