product_id,product_name,category,sub_category,brand,unit_price,cost_price
PROD-00237,Bluepeak Beverages Including,Grocery,Beverages,Halcyon,672.68,310.24
PROD-00205,Acme Non-Fiction Method,Books,Non-Fiction,Bluepeak,113.64,78.47
PROD-00190,Bluepeak Cookware But,Home & Kitchen,Cookware,Nimbus,636.66,354.41
PROD-00065,Halcyon Beverages Common,Grocery,Beverages,Nimbus,88.22,46.96
PROD-00001,Voyager Camping Middle,Sports & Outdoors,Camping,Nimbus,99.53,50.19
PROD-00164,Bluepeak Puzzles Congress,Toys & Games,Puzzles,Crestline,407.08,211.46
PROD-00094,Halcyon Cookware I,Home & Kitchen,Cookware,Nimbus,463.5,282.42
PROD-00211,Nimbus Puzzles Special,Toys & Games,Puzzles,Zenith,858.87,396.27
PROD-00193,Acme Haircare Memory,Beauty,Haircare,Voyager,272.49,158.59
PROD-00258,Voyager Board Games Might,Toys & Games,Board Games,Nimbus,468.65,360.18
PROD-00175,Voyager Board Games Peace,Toys & Games,Board Games,Voyager,112.4,51.89
PROD-00028,Voyager Laptops Hospital,Electronics,Laptops,Crestline,338.3,241.33
PROD-00074,Acme  Children Ask,Books,Children,Pinnacle,578.01,396.44
PROD-00117,Pinnacle Accessories Team,Electronics,Accessories,Halcyon,547.9,342.56
PROD-00238,Halcyon Pantry Else,Grocery,Pantry,Bluepeak,718.1,356.47
PROD-00080,Halcyon Accessories Book,Electronics,Accessories,Voyager,534.78,283.48
PROD-00051,Crestline Accessories Information,Electronics,Accessories,Nimbus,395.75,200.83
PROD-00106,Crestline Laptops Fish,Electronics,Laptops,Pinnacle,447.05,212.54
PROD-00104,Bluepeak Camping Benefit,Sports & Outdoors,Camping,Nimbus,735.44,378.87
PROD-00056,Acme Makeup Trip,BEAUTY,Makeup,Nimbus,175.53,88.74
PROD-00289,Nimbus Cameras Morning,Electronics,Cameras,Halcyon,528.31,232.69
PROD-00085,Voyager Appliances Tonight,Home & Kitchen,Appliances,Halcyon,202.57,136.77
PROD-00236,Zenith Decor Arm,Home & Kitchen,Decor,Voyager,389.99,199.15
